,Terms,% Freq in Thesis
606820,place on earth,0.41096745281289926
329379,happiest place on,0.3623801677512757
95908,california adventure park,0.1528475009230241
181888,disneyland california adventure,0.1359769158321826
154473,day park hopper,0.1359769158321826
294311,get fast pass,0.12956609349766282
386069,it small world,0.11944374244315792
254621,fast pass system,0.11202068500318765
369074,in one day,0.11202068500318765
534367,on main street,0.10223574565049957
819770,use fast pass,0.09987386373778176
294312,get fast passes,0.08907668927964318
835482,waiting in line,0.08840186587600952
360172,in california adventure,0.08502774885784123
855879,we went on,0.08469033715602439
377443,indiana jones ride,0.08401551375239073
180068,disney world in,0.08199104354148976
76745,big thunder mountain,0.08199104354148976
100409,cannot wait go,0.08165363183967292
832892,wait in line,0.07794210311968779
839327,walt disney world,0.07726727971605413
851646,we great time,0.07591763290878681
832705,wait go back,0.07591763290878681
572609,park hopper pass,0.0657952818542819
173183,disney california adventure,0.06545787015246507
305769,go on rides,0.06478304674883141
296034,get on rides,0.06444563504701457
192749,do not miss,0.057697401010677975
819771,use fast passes,0.057359989308861145
498149,new orleans square,0.056685165905227486
772238,thunder mountain railroad,0.04993693186889088
452292,make sure get,0.047912461657989895
765357,this first time,0.04588799144708892
888414,year old daughter,0.04487575634163842
725890,standing in line,0.04487575634163842
481338,mountain indiana jones,0.04420093293800476
269246,first trip disneyland,0.043188697832554274
503071,nightmare before christmas,0.042851286130737444
563559,paint night parade,0.042513874428920614
725408,stand in line,0.04082681591983646
362370,in downtown disney,0.0401519925162028
368601,in new orleans,0.0401519925162028
803472,truly happiest place,0.03947716911256914
405973,later in day,0.03913975741075231
855488,we visited disneyland,0.03913975741075231
441007,loved every minute,0.03913975741075231
19399,alice in wonderland,0.03880234570893548
367340,in long lines,0.03880234570893548
631102,radiator springs racers,0.03846493400711865
878259,world in florida,0.03812752230530182
