,Word,Count
2,disneyland,312
0,disney,263
23,park,240
12,rides,198
15,food,156
9,small,144
145,day,140
159,time,132
152,go,128
20,expensive,122
56,one,121
81,place,106
375,kids,98
7,kong,95
6,hong,94
96,would,89
138,like,83
160,went,83
297,visit,82
267,experience,76
307,bad,75
312,long,74
293,not,74
173,hk,74
346,queue,72
504,disappointed,71
26,people,70
39,parade,64
69,get,62
36,around,61
158,ride,61
51,much,61
8,really,60
16,even,58
319,line,58
74,staff,58
55,see,56
13,attractions,56
362,visited,55
41,crowded,55
155,us,52
382,queues,50
623,fireworks,50
94,money,50
1,world,49
366,little,47
139,parks,44
52,take,44
84,characters,43
140,theme,42
763,compared,42
21,well,42
561,quite,42
310,going,41
317,hours,41
192,also,41
24,good,41
266,disappointing,41
114,less,40
133,wait,40
238,land,38
250,waiting,38
125,closed,38
603,still,37
78,could,37
282,minutes,35
183,show,35
513,chinese,35
98,enough,35
27,never,34
516,hkd,33
549,family,33
367,first,33
272,back,32
278,trip,32
883,old,32
423,year,32
381,every,31
75,want,31
756,smaller,31
63,worst,30
83,fun,30
57,shows,30
122,worth,30
34,however,30
750,bit,30
157,hour,29
421,attraction,29
167,lot,29
124,castle,29
290,disappointment,29
177,space,29
332,better,29
43,rude,29
47,lines,29
520,took,28
171,say,28
170,need,28
33,water,28
496,ocean,28
18,tickets,28
25,children,28
4,tokyo,28
321,big,28
338,years,28
299,must,27
156,half,27
90,in,27
612,boring,27
952,two,27
509,mickey,27
490,paris,26
399,things,26
351,ticket,26
1105,inside,26
115,price,26
408,hongkong,25
93,waste,25
113,days,25
126,due,25
302,least,25
134,recommend,25
195,hotel,24
646,mainland,24
365,poor,24
819,nothing,24
615,crowd,24
761,many,23
892,try,23
228,main,23
17,entrance,23
270,child,23
11,way,23
347,mins,23
480,buy,22
214,china,22
485,save,22
67,train,22
73,terrible,22
1114,think,22
112,got,21
906,bring,21
92,dont,21
137,said,21
727,avoid,21
451,photo,21
436,thing,21
528,made,21
178,mountain,21
372,lots,20
322,everything,20
766,since,20
825,found,20
60,let,19
87,photos,19
285,times,19
269,adults,19
677,whole,19
604,new,19
5,feel,19
547,great,19
647,tourists,19
180,enjoy,19
813,usa,19
196,u,19
111,left,19
407,know,18
478,ever,18
116,visiting,18
79,find,18
148,eat,18
772,expect,18
303,limited,18
241,no,17
511,mouse,17
641,disneylands,17
961,others,17
182,king,17
695,stay,17
181,lion,17
416,english,17
425,last,17
464,short,17
433,horrible,17
130,weekday,17
589,spend,17
556,night,17
818,young,17
308,part,17
88,visitors,17
286,unfortunately,17
875,smallest,17
253,come,17
305,though,16
89,queuing,16
251,daughter,16
1007,end,16
3,anaheim,16
879,service,16
240,hot,16
1080,watch,16
31,fast,16
580,florida,16
127,area,16
652,wanted,16
618,weather,16
1208,expected,16
337,came,15
344,especially,15
335,another,15
354,bought,15
503,parades,15
653,crowds,15
236,toy,15
123,walk,15
533,saw,15
845,definitely,14
320,without,14
1280,size,14
609,make,14
169,average,14
428,taking,14
895,la,14
144,done,14
711,extremely,14
859,orlando,14
649,happiest,14
882,looks,13
575,miss,13
393,early,13
576,overall,13
502,enjoyed,13
62,far,13
184,cannot,13
237,story,13
49,shops,13
631,felt,13
331,quality,13
1073,different,13
304,restaurants,13
588,etc,12
668,son,12
172,home,12
728,afternoon,12
273,second,12
216,crazy,12
764,ones,12
467,almost,12
14,souvenirs,12
1015,hardly,12
499,probably,12
345,lunch,12
672,street,12
46,cutting,12
1169,always,12
925,rather,12
1775,games,12
1894,chicken,11
637,bored,11
858,version,11
698,grizzly,11
44,pushing,11
719,entry,11
295,restaurant,11
1657,kid,11
830,side,11
119,look,11
826,everywhere,11
283,sure,11
595,halloween,11
593,late,11
645,full,11
650,earth,11
136,holidays,11
542,given,11
132,min,11
1088,japan,11
231,told,11
793,areas,11
1005,spent,11
1061,character,11
1045,plenty,11
470,evening,11
1036,magic,11
739,thought,11
260,pass,11
903,may,11
611,nice,11
585,river,10
309,renovation,10
210,unless,10
100,places,10
1304,roller,10
579,california,10
584,jungle,10
40,pretty,10
586,cruise,10
543,give,10
383,already,10
174,th,10
785,minnie,10
1349,compare,10
868,packed,10
108,atmosphere,10
877,walking,10
193,stayed,10
642,on,10
118,everyone,10
64,managed,10
846,friendly,10
643,monday,10
710,magical,10
104,seems,10
1217,number,10
388,although,10
301,love,10
1442,anything,10
735,cancelled,10
395,store,9
473,choice,9
726,wrong,9
700,mystic,9
356,value,9
391,suggest,9
442,skip,9
412,n,9
459,picture,9
522,offer,9
557,looking,9
560,asian,9
681,close,9
424,worse,9
497,next,9
491,lack,9
1210,taste,9
881,real,9
1426,pictures,9
965,yet,9
106,something,9
1415,disgusting,9
225,maintenance,9
495,sorry,9
248,actually,9
224,open,9
1502,might,9
120,online,9
1068,age,9
914,baby,9
135,weekends,9
888,instead,9
259,parents,9
1224,raining,9
2086,adult,9
147,person,9
820,best,9
190,meal,9
291,check,9
1198,cut,9
563,please,8
176,scary,8
1237,game,8
1271,understand,8
1275,expecting,8
406,awful,8
1129,away,8
153,week,8
1305,coaster,8
665,allowed,8
1056,care,8
1081,cantonese,8
1113,huge,8
1151,sad,8
102,rest,8
602,several,8
1022,someone,8
448,drinks,8
1455,season,8
2517,mind,8
811,getting,8
812,bag,8
498,tired,8
341,usual,8
306,maybe,8
857,tourist,8
2034,que,8
876,finish,8
508,shop,8
1814,families,8
53,forget,8
255,put,8
1234,group,8
916,summer,8
534,asked,8
1338,missed,7
539,tried,7
10,called,7
450,overpriced,7
441,bother,7
605,coming,7
91,rain,7
1469,management,7
85,seen,7
484,lost,7
150,cost,7
1290,cheaper,7
466,morning,7
149,point,7
1406,disabled,7
1942,gone,7
146,per,7
1428,mainlanders,7
1509,mtr,7
1384,didnt,7
45,shoving,7
330,high,7
414,difficult,7
660,meet,7
840,reason,7
277,return,7
271,note,7
720,seemed,7
718,shut,7
715,anywhere,7
940,outside,7
699,gulch,7
966,except,7
973,feeling,7
980,low,7
378,kept,7
963,exciting,7
939,allow,7
200,prices,7
1179,fee,7
403,waited,7
186,aud,7
824,toilets,6
907,empty,6
1532,among,6
1535,takes,6
803,festival,6
1668,added,6
1687,jump,6
518,behind,6
2114,birthday,6
1201,smoking,6
1736,minimum,6
515,sign,6
633,life,6
1847,cars,6
1202,toilet,6
510,mini,6
531,airport,6
1849,pooh,6
734,ended,6
2405,right,6
2106,euro,6
1238,book,6
1989,resort,6
865,american,6
851,attitude,6
2304,tiny,6
714,singapore,6
1333,information,6
1116,entertainment,6
688,nd,6
1064,anyone,6
1341,despite,6
1042,souvenir,6
1126,start,6
1405,wife,6
1032,thrill,6
1006,able,6
1417,personal,6
997,april,6
996,highlight,6
683,clean,6
565,man,6
1139,heavy,6
712,universal,6
1449,arrived,6
692,paying,6
644,yes,6
1165,it,6
1458,favourite,6
1175,mine,6
775,majority,6
546,stand,6
1478,control,6
1500,childhood,6
923,special,6
922,manor,6
1504,any,6
1106,till,6
275,stop,6
95,walt,6
404,pay,6
143,easily,6
392,shopping,6
390,plan,6
316,couple,6
22,basically,6
68,fantastic,6
82,priced,6
453,klook,6
333,keep,6
364,march,6
264,either,6
446,website,6
454,access,6
187,bottle,6
209,cheap,6
373,stuff,6
374,anyway,6
439,enter,6
77,working,6
608,near,5
1287,indeed,5
769,supposed,5
1620,gets,5
1626,blast,5
960,asia,5
415,speak,5
781,options,5
1281,sell,5
956,umbrella,5
2109,view,5
619,cold,5
1118,maintained,5
430,minimal,5
1634,haunted,5
42,problem,5
590,america,5
791,dirty,5
435,tasteless,5
58,free,5
1489,miserable,5
438,adventure,5
339,ago,5
744,customer,5
620,planning,5
70,past,5
54,trying,5
1564,wasnt,5
696,sections,5
371,including,5
676,unhappy,5
369,experiences,5
1019,forward,5
1018,over,5
1008,advice,5
1576,opening,5
713,studios,5
1310,complained,5
1544,front,5
2420,talking,5
1063,offered,5
342,super,5
1301,winnie,5
400,floor,5
1595,toddler,5
989,add,5
1074,guess,5
350,western,5
30,mostly,5
737,booked,5
985,throughout,5
1792,country,5
574,fan,5
1083,stage,5
1985,twice,5
1375,rainy,5
1394,longer,5
431,normal,5
141,general,5
318,along,5
506,decided,5
1475,mean,5
2219,october,5
823,helpful,5
1664,wasted,5
526,friends,5
2094,hotels,5
284,case,5
1669,used,5
472,play,5
1672,annoying,5
99,eating,5
896,obviously,5
1425,review,5
911,cinderella,5
28,choices,5
1181,list,5
529,unpleasant,5
296,third,5
1155,opens,5
476,foods,5
2317,overcrowded,5
175,biggest,5
815,totally,5
199,insane,5
1250,dressed,5
885,hard,5
1702,head,5
1211,merchandise,5
487,else,5
1213,purchased,5
276,paid,5
324,ridiculous,5
505,knew,5
2055,weekend,5
805,heat,5
566,star,5
353,purchase,4
1452,travelled,4
1868,opened,4
1424,live,4
1454,peak,4
1363,unhelpful,4
2014,fair,4
904,july,4
848,handful,4
230,discount,4
1342,members,4
2028,stroller,4
281,longest,4
2428,dollars,4
101,amount,4
2017,trees,4
1351,similar,4
1431,younger,4
889,fans,4
1446,interest,4
724,apart,4
229,st,4
370,renovations,4
359,pathetic,4
357,set,4
723,major,4
884,outdated,4
864,work,4
944,provide,4
741,considering,4
19,slightly,4
773,wonderful,4
1850,mickeys,4
776,encountered,4
2056,regret,4
315,hand,4
1495,amusement,4
929,pack,4
930,properly,4
1436,surprised,4
948,works,4
947,fire,4
931,security,4
