,Terms,% Freq in Thesis
16205,hong kong disneyland,0.2872213278114002
17549,in hong kong,0.22426870801712068
20959,lion king show,0.1101670846399891
8962,disneyland hong kong,0.0747562360057069
16204,hong kong disney,0.07082169726856442
18773,it small world,0.07082169726856442
15452,happiest place on,0.06688715853142196
30198,place on earth,0.06688715853142196
40329,toy story land,0.059018081057137024
17767,in one day,0.05508354231999455
25599,not many rides,0.04721446484570962
44809,would not recommend,0.04721446484570962
9480,do not miss,0.04327992610856715
43400,we went on,0.03541084863428221
8780,disney world in,0.03541084863428221
17529,in hk disneyland,0.03541084863428221
43393,we went in,0.03541084863428221
14553,go ocean park,0.031476309897139745
14565,go on rides,0.031476309897139745
35710,small in comparison,0.031476309897139745
8403,disney hong kong,0.031476309897139745
18466,iron man experience,0.027541771159997275
35883,small world ride,0.027541771159997275
8996,disneyland in hong,0.027541771159997275
22005,mainland chinese tourists,0.027541771159997275
14427,go back again,0.027541771159997275
8997,disneyland in la,0.027541771159997275
41988,visit hk disneyland,0.027541771159997275
5412,chinese new year,0.027541771159997275
44799,would not go,0.027541771159997275
17507,in half day,0.027541771159997275
42167,visited hong kong,0.027541771159997275
45002,year old son,0.027541771159997275
26038,not worth money,0.02360723242285481
12560,festival lion king,0.02360723242285481
19627,kong disneyland small,0.02360723242285481
7202,day in disneyland,0.02360723242285481
29243,parks around world,0.02360723242285481
18995,jungle river cruise,0.02360723242285481
44989,year old daughter,0.02360723242285481
32945,ride space mountain,0.02360723242285481
8724,disney theme park,0.02360723242285481
27093,one day pass,0.02360723242285481
42502,waiting in line,0.02360723242285481
17341,in disney parks,0.02360723242285481
8987,disneyland in california,0.02360723242285481
41991,visit hong kong,0.02360723242285481
25784,not really enjoy,0.01967269368571234
25995,not want go,0.01967269368571234
20569,like kid again,0.01967269368571234
