,Word,Count
1,disneyland,7055
89,park,6657
84,disney,6431
14,rides,6109
20,day,6041
32,time,4153
196,kids,3483
13,one,3355
50,great,3003
103,place,2851
393,get,2808
4,hong,2806
112,good,2778
5,kong,2762
156,food,2749
446,ride,2730
175,go,2699
33,visit,2644
122,would,2374
314,fun,2291
132,parade,2257
105,really,2146
208,went,2068
69,like,2049
34,hk,2013
345,fireworks,1997
291,show,1971
15,small,1942
114,also,1932
43,experience,1868
134,much,1812
709,see,1724
28,well,1610
128,around,1597
839,long,1532
313,still,1527
629,us,1515
143,attractions,1488
145,not,1475
642,characters,1470
264,shows,1467
504,take,1429
90,even,1426
410,first,1421
321,many,1419
408,train,1396
337,children,1376
16,world,1312
403,mickey,1311
602,people,1282
166,enjoyed,1279
40,land,1268
19,worth,1266
237,best,1264
335,back,1204
138,enjoy,1195
283,must,1167
384,wait,1164
71,mountain,1156
348,family,1152
323,parks,1128
141,queue,1113
21,visited,1099
125,lot,1090
438,nice,1082
911,night,1079
453,old,1058
123,big,1041
210,loved,1038
342,could,1030
220,days,1026
447,line,1002
265,mtr,999
252,staff,995
110,theme,959
372,smaller,957
151,quite,956
271,two,950
26,queues,948
452,year,945
92,got,936
216,little,911
295,better,910
170,going,906
618,every,899
70,space,899
544,times,898
442,make,893
197,love,890
365,pass,887
293,king,875
379,easy,874
144,minutes,873
534,lines,867
148,amazing,864
443,sure,863
292,lion,851
732,hotel,849
364,enough,846
488,expensive,846
203,everything,840
54,whole,829
418,tickets,815
9,main,814
155,way,797
212,though,784
333,early,782
386,definitely,767
521,trip,764
409,magical,753
355,need,750
79,bit,748
341,young,744
469,adults,743
67,however,731
272,ticket,728
608,recommend,719
53,especially,714
328,lots,695
450,new,691
23,hot,691
489,want,683
684,mystic,671
205,in,667
200,took,665
258,come,664
153,castle,662
614,story,661
508,grizzly,652
613,toy,650
589,fast,649
213,think,646
177,crowded,639
10,street,638
98,attraction,637
284,miss,632
36,stay,620
387,waiting,619
741,full,618
580,bring,612
567,try,608
516,different,604
822,water,600
460,overall,600
1277,end,596
526,clean,594
116,inside,594
305,never,583
416,able,569
64,less,567
845,weather,564
255,say,562
463,buy,559
414,years,557
813,always,545
30,since,543
890,friendly,543
400,parades,540
329,spend,536
215,magic,528
147,although,524
133,hours,522
1790,thing,520
349,made,518
685,manor,513
209,daughter,506
12,feel,505
363,awesome,504
317,spent,502
31,last,498
627,things,496
428,compared,495
462,wonderful,490
466,chinese,487
543,found,482
810,happy,474
275,may,474
8,walk,473
3,find,473
261,entrance,469
57,area,468
1130,mins,461
120,visiting,451
159,shops,451
1259,mouse,448
1866,watch,445
497,price,443
135,plenty,441
131,evening,432
217,ones,431
617,cannot,428
359,fantastic,425
267,station,425
496,available,421
710,pretty,420
280,hkd,418
802,crowds,417
902,paris,414
377,child,413
185,etc,410
1228,expect,405
193,avoid,404
218,almost,404
25,busy,401
136,everyone,398
231,restaurants,396
308,florida,395
46,open,395
768,right,394
509,gulch,388
577,special,386
494,photo,383
545,short,381
311,kid,380
238,plan,375
458,probably,375
916,part,370
701,english,368
96,u,366
88,ocean,365
332,second,364
201,hour,360
546,done,360
248,hongkong,360
648,lunch,358
1721,crowd,357
470,roller,357
401,saw,355
419,getting,353
548,afternoon,353
330,money,350
66,something,350
490,photos,350
