,Terms,% Freq in Thesis
162536,hong kong disneyland,0.4716820751019235
173981,in hong kong,0.39316322544683857
204314,lion king show,0.22417700553698175
382516,toy story land,0.21564234796577686
86272,disneyland hong kong,0.16727928839561582
175812,in one day,0.12745088639665966
409821,we went on,0.12233009185393674
162535,hong kong disney,0.10355384519728598
90852,do not miss,0.09160532459759914
288799,place on earth,0.0864845300548762
184523,it small world,0.08307066702639425
123226,festival lion king,0.08193271268356693
155102,happiest place on,0.08079475834073961
34554,big grizzly mountain,0.076811918140844
149944,great day out,0.06884623774105277
321497,runaway mine cars,0.06657032905539813
398096,visit hong kong,0.06258748885550251
186605,jungle river cruise,0.06258748885550251
143926,go on rides,0.05632873996995227
181946,iron man experience,0.05575976279853861
388205,two day pass,0.05519078562712495
231803,mountain runaway mine,0.05234589977005665
152416,grizzly mountain runaway,0.05177692259864299
338225,sleeping beauty castle,0.0460871508845064
71061,day not enough,0.04494919654167908
215515,main street usa,0.04381124219885176
424620,year old daughter,0.0432422650274381
257856,on main street,0.04267328785602444
399482,visited hong kong,0.041535333513197124
357585,sunny bay station,0.03812147048471517
260896,one day not,0.03755249331330151
271209,paint night parade,0.03755249331330151
178300,in toy story,0.03698351614188785
346270,spend whole day,0.03641453897047419
84262,disney world in,0.03584556179906053
400035,visiting hong kong,0.03584556179906053
385863,trip hong kong,0.03413863028481955
92593,dream come true,0.03413863028481955
86545,disneyland in california,0.033000675941992234
173793,in hk disneyland,0.031862721599164916
237296,my year old,0.031862721599164916
339904,small world ride,0.031862721599164916
162745,hong kong not,0.031293744427751256
424735,year old son,0.03015579008492394
346633,spent whole day,0.03015579008492394
248839,not many rides,0.03015579008492394
86648,disneyland in world,0.029586812913510282
224578,mickey wondrous book,0.029586812913510282
90839,do not forget,0.029017835742096623
414047,went on weekday,0.029017835742096623
