,Terms,% Freq in Thesis
25648,disneyland paris,0.29218867852963404
48757,in park,0.22390188624405663
35125,fast pass,0.17859622597766395
20076,could not,0.17203018825789687
117665,year old,0.1398566034310383
117153,would not,0.12278490535964395
103476,thunder mountain,0.11950188649976043
41386,go on,0.11227924500801667
95833,space mountain,0.1050566035162729
48584,in line,0.09980377334045926
86925,rides closed,0.09586415070859902
69178,on rides,0.0938943393926689
40407,get on,0.09192452807673879
113729,we went,0.08995471676080867
48268,in disney,0.08667169790092515
48756,in paris,0.08601509412894844
41217,go back,0.08338867904104162
56034,long queues,0.07288301868941433
48848,in queue,0.07288301868941433
6105,around park,0.0702566036015075
10622,big thunder,0.0695999998295308
25203,disney park,0.06828679228557738
12397,broke down,0.06828679228557738
87200,rides not,0.06763018851360068
69545,one day,0.06697358474162397
66138,not get,0.06697358474162397
113547,we not,0.06697358474162397
66145,not go,0.06631698096964728
24880,disney characters,0.06631698096964728
26097,do not,0.06566037719767057
114594,went on,0.06434716965371716
48423,in front,0.06434716965371716
112310,walt disney,0.06369056588174045
74303,park in,0.06369056588174045
94351,small world,0.06303396210976374
117746,years ago,0.06172075456581033
101479,theme park,0.06172075456581033
74436,park not,0.059750943249880215
25348,disney studios,0.05909433947790351
77056,peter pan,0.05909433947790351
77496,pirates caribbean,0.05909433947790351
48402,in florida,0.0584377357059268
25204,disney parks,0.0577811319339501
25442,disney world,0.0577811319339501
48269,in disneyland,0.057124528161973394
40345,get in,0.057124528161973394
66035,not even,0.05581132061801998
14664,cast members,0.05515471684604328
49479,indiana jones,0.05515471684604328
101706,there no,0.05515471684604328
