,Word,Count
328,park,15410
15,disney,13028
70,rides,11312
24,time,9681
11,day,8157
55,get,7507
0,disneyland,6895
93,would,6502
4,one,6406
94,go,6332
197,good,5508
242,great,5461
85,food,5352
35,ride,5077
41,paris,5071
398,really,4536
58,parks,4296
151,kids,4295
105,see,4052
139,also,3747
170,much,3729
40,went,3682
101,queues,3630
16,hotel,3597
399,like,3527
188,us,3518
38,show,3509
742,children,3434
8,visit,3427
479,staff,3389
100,place,3380
334,people,3351
679,characters,3336
71,queue,3293
289,around,3269
260,days,3256
34,back,3249
19,fast,3240
382,long,3133
178,could,3019
148,well,2994
127,times,2892
83,even,2883
103,year,2828
115,parade,2810
284,many,2760
271,take,2690
162,not,2680
221,experience,2674
114,amazing,2652
348,first,2619
126,wait,2599
705,worth,2584
57,pass,2558
383,got,2541
51,loved,2483
299,mountain,2435
82,expensive,2428
307,old,2412
326,magic,2394
172,little,2354
135,fun,2342
484,two,2292
69,lot,2255
128,minutes,2208
203,magical,2198
5,best,2177
501,going,2165
781,attractions,2165
344,still,2134
427,make,2119
187,big,2113
305,hours,1979
703,better,1977
171,every,1972
350,closed,1971
181,trip,1954
107,everything,1941
39,world,1877
286,family,1870
1022,main,1840
916,small,1840
535,visited,1830
278,tickets,1825
335,hour,1768
285,need,1762
108,bit,1715
397,studios,1685
257,want,1680
234,waiting,1673
401,castle,1664
125,busy,1656
231,way,1638
527,early,1634
222,recommend,1634
317,however,1625
138,enjoyed,1623
471,lots,1618
678,florida,1593
388,think,1583
37,fireworks,1575
95,in,1569
161,though,1545
211,train,1537
99,fantastic,1520
88,nice,1505
698,say,1495
261,restaurants,1488
1122,found,1485
236,parades,1484
861,quite,1450
345,space,1450
503,years,1446
409,meet,1444
688,things,1440
239,took,1433
98,love,1432
440,sure,1429
477,night,1426
229,ticket,1412
118,must,1412
592,use,1396
273,money,1387
48,cannot,1387
112,open,1357
12,enough,1356
1164,shows,1353
708,stayed,1351
1091,never,1348
393,clean,1344
14,stay,1341
290,mins,1340
324,always,1335
210,last,1330
18,enjoy,1302
302,made,1283
1535,although,1274
713,euros,1274
194,end,1273
152,adults,1268
33,come,1242
859,whole,1237
474,half,1225
741,find,1220
75,thing,1219
274,definitely,1206
1016,mickey,1206
579,eat,1205
298,thunder,1200
67,etc,1190
613,shops,1184
779,walk,1174
943,daughter,1172
145,different,1165
376,french,1135
351,next,1133
626,everyone,1091
762,friendly,1079
303,feel,1064
1305,spent,1061
314,expect,1060
226,queuing,1060
235,line,1058
480,especially,1051
635,service,1049
2472,new,1039
45,know,1038
141,walking,1029
91,plenty,1029
533,theme,1025
753,buy,1008
97,christmas,1005
339,holiday,994
631,lovely,987
451,ones,986
963,book,974
1193,something,973
136,pirates,970
26,plan,966
511,young,959
586,another,957
1087,overall,955
28,getting,955
668,meal,952
733,water,944
224,free,943
1020,breakfast,933
174,full,930
272,lunch,923
1064,evening,922
917,saw,919
1335,princess,913
616,lines,910
1662,th,910
585,front,909
177,less,906
780,places,905
259,child,895
999,wanted,892
338,try,892
394,right,887
330,brilliant,883
29,passes,882
534,helpful,880
1929,street,879
149,done,878
728,least,875
1106,buzz,872
814,prices,870
536,character,869
392,thought,869
158,land,866
1187,village,863
59,excellent,862
652,wonderful,859
922,light,859
329,expected,849
706,price,849
562,able,843
938,drinks,841
997,extra,840
931,drink,833
1695,bad,826
402,beautiful,823
323,away,822
1531,weather,819
267,restaurant,817
25,staying,814
1252,euro,812
190,happy,811
418,coaster,808
308,absolutely,805
1573,dreams,793
73,entrance,789
952,without,787
629,spend,785
169,pretty,776
380,star,775
696,fastpass,775
333,easy,774
790,smoking,768
1286,look,760
1019,booked,757
168,cost,756
457,walt,748
1450,hotels,747
1246,yes,746
1160,used,746
429,outside,738
320,ever,732
322,second,732
632,son,730
841,start,730
712,return,729
386,three,727
645,minute,725
22,huge,723
530,couple,723
1075,may,722
217,left,721
490,said,720
716,station,712
603,felt,711
722,on,708
756,week,708
32,attraction,704
1017,prepared,704
109,disappointed,699
3,far,699
845,areas,696
255,short,695
1560,peter,693
1351,special,690
751,ages,684
54,managed,683
295,area,679
81,pay,675
250,part,674
10,orlando,673
196,nothing,672
567,check,670
573,came,670
609,miss,668
258,let,665
444,cast,663
1274,ok,656
248,probably,655
1897,due,650
594,seemed,647
249,favourite,634
558,actually,630
617,visiting,622
355,cold,617
765,everywhere,614
735,available,614
137,caribbean,611
163,inside,608
445,members,602
795,smaller,602
452,seen,599
550,arrived,599
296,keep,593
1448,room,592
646,later,592
526,bus,591
6,looking,590
1295,anything,590
21,save,589
131,jones,587
939,bring,584
349,morning,584
684,since,584
237,watch,583
2118,hot,579
216,avoid,578
885,system,573
448,princesses,572
1354,popular,571
737,close,566
827,atmosphere,565
167,high,563
1200,put,560
1561,pan,558
661,english,553
337,course,549
130,indiana,549
1556,late,548
637,give,547
975,home,545
1035,studio,539
2060,cafe,534
387,work,534
316,snacks,532
636,help,529
1161,lightyear,528
801,plus,528
106,almost,528
1841,per,527
619,season,523
486,leave,522
1803,quality,519
810,several,519
180,crowds,518
417,roller,515
485,told,515
921,side,512
524,near,509
915,queued,509
953,dlp,508
1854,round,508
391,crowded,508
1935,real,508
79,photos,506
721,straight,506
1711,age,506
1563,taking,505
657,longer,505
422,tower,502
331,seem,496
2020,dinner,493
1505,min,491
692,waited,489
552,top,487
929,either,481
993,rude,479
1966,whilst,477
739,toilets,477
523,no,476
354,california,475
560,bought,474
627,else,473
44,weekend,473
357,maybe,473
537,break,471
2299,buffet,471
519,decided,469
60,access,469
998,rather,469
312,twice,469
2187,advance,467
84,photo,467
2160,closing,467
291,view,466
86,spectacular,458
368,perfect,454
2076,france,452
1205,cheaper,452
816,four,451
419,highly,451
1034,board,449
727,missed,447
568,point,446
493,others,446
154,ate,446
347,problem,444
240,birthday,443
724,reviews,442
714,stop,442
740,soon,439
1088,paid,438
92,choice,438
365,ratatouille,437
461,seeing,436
1149,nights,435
1036,value,434
604,mouse,434
880,number,432
674,sit,432
1042,summer,430
1209,already,430
945,ago,429
2058,husband,427
232,rest,426
1228,spot,426
121,school,426
1431,car,424
1546,adult,424
988,large,423
554,security,422
606,anyone,419
2078,might,419
1318,truly,417
213,run,416
476,firework,416
1770,hard,416
1294,given,415
192,possible,414
1312,shop,413
1380,lack,411
122,holidays,410
124,extremely,408
927,loads,406
959,meals,403
166,despite,403
2188,tip,402
487,allowed,401
96,halloween,398
879,mind,398
1529,needs,396
822,remember,396
1215,usa,394
850,dont,394
865,seems,393
1438,site,391
1705,poor,391
1030,tired,389
987,stand,389
700,guests,388
1510,fact,388
413,display,388
719,set,387
423,terror,386
1684,head,383
656,meant,382
858,single,381
80,taken,380
924,younger,377
1874,lucky,376
1989,shuttle,376
559,enter,376
492,along,374
1132,fine,372
1224,afternoon,371
182,makes,371
389,option,367
759,within,367
443,american,366
561,online,366
165,average,366
321,looked,364
270,review,364
591,person,362
1216,including,362
23,amount,361
191,we,361
782,offer,359
2771,needed,356
572,fantasyland,356
1677,certainly,355
1082,eating,355
956,older,355
898,dream,354
750,throughout,353
76,met,352
1060,visitors,351
129,disappointing,351
628,planning,350
681,overpriced,349
2537,snow,348
279,meeting,347
475,awesome,345
1648,enjoyable,341
1504,cheap,340
1576,member,340
214,life,340
437,walked,339
325,believe,337
618,working,337
1636,tours,337
2325,e,335
2801,anniversary,334
277,entry,334
223,making,333
1155,live,332
755,quick,332
1455,simply,332
932,trying,331
1116,understand,331
455,options,331
1602,idea,331
950,app,330
198,coffee,330
1102,u,330
1732,priced,329
3597,parents,328
930,rain,327
873,uk,327
1458,travel,326
723,quickly,324
276,using,324
1988,shopping,324
1074,tea,324
2534,laser,324
666,unfortunately,324
336,opened,324
1049,glad,323
669,deal,323
186,kid,322
799,manor,321
17,resort,321
1329,started,321
470,packed,320
233,instead,319
1348,returned,318
1765,longest,317
811,wife,317
832,any,316
1140,tried,316
758,fan,315
2265,stuff,315
20,track,314
1635,past,314
973,please,314
2356,themed,314
2043,aged,314
2586,map,313
1934,onto,312
396,hollywood,311
1584,daughters,311
1979,unless,310
1144,vouchers,310
1134,nearly,310
607,true,309
3674,read,309
1192,smoke,309
205,takes,308
531,families,307
564,easily,305
2159,opening,305
624,europe,304
2449,peak,304
583,ice,302
852,limited,302
