,Terms,% Freq in Thesis
95198,disneyland paris,0.2931489623997422
180965,in park,0.23046074176296172
130733,fast pass,0.19796915919784816
423918,year old,0.16257869937785455
345402,space mountain,0.13757588305451438
374725,thunder mountain,0.1292416109467343
179806,in disney,0.12839610508072763
154175,go on,0.1251348681689876
252769,on rides,0.10556744669854745
410450,we went,0.10266856944366744
95207,disneyland park,0.1020646366822341
76188,could not,0.09505901664960738
153675,go back,0.0945758704404607
253809,one day,0.09373036457445404
94306,disney studios,0.088294969721554
180961,in paris,0.08744946385554732
214853,main street,0.08708710419868732
340042,small world,0.08394665383923396
422415,would not,0.08237642865950728
405538,walt disney,0.0811685631366406
215971,make sure,0.0797191245092006
413645,went on,0.07923597830005392
39105,big thunder,0.07657867414974724
150800,get on,0.0745253027608739
159668,great time,0.07440451620858722
93927,disney park,0.07428372965630056
410276,we stayed,0.07162642550599387
280371,pirates caribbean,0.07053934653541385
94474,disney village,0.07017698687855387
130738,fast passes,0.06993541377398052
97037,do not,0.06957305411712052
179809,in disneyland,0.06896912135568718
93550,disney hotel,0.06655339030995383
413151,well worth,0.06607024410080715
269207,park in,0.06607024410080715
278391,peter pan,0.06582867099623382
422544,would recommend,0.06498316513022716
94550,disney world,0.06498316513022716
183309,indiana jones,0.06486237857794049
22376,around park,0.06365451305507382
180123,in florida,0.06305058029364047
180976,in parks,0.06280900718906714
50602,buzz lightyear,0.061963501323060464
243810,not get,0.06160114166620046
367807,theme park,0.06111799545705379
93076,disney characters,0.060997208904767126
136836,first time,0.059910129934187116
180886,in one,0.05870226441132044
410413,we visited,0.05821911820217377
313991,rides closed,0.0577359719930271
