,Word,Count
63,park,2202
33,disney,2006
28,rides,1597
15,disneyland,1313
41,get,1227
61,day,1177
122,would,1133
112,time,1098
97,go,1088
225,people,1078
72,one,1028
137,ride,1013
129,us,750
80,food,736
40,could,695
190,staff,690
154,2,686
55,even,679
66,money,666
473,wait,654
206,like,639
26,place,620
245,minutes,606
230,paris,602
39,kids,593
285,queue,590
592,back,589
456,line,575
318,many,554
214,not,538
69,children,533
23,experience,531
387,hours,531
156,went,531
52,long,524
30,closed,503
523,3,494
561,around,481
465,got,469
128,see,469
584,fast,460
675,hour,447
51,queues,444
569,really,438
1032,never,436
599,two,434
74,tickets,431
714,parks,409
125,much,406
471,told,397
362,times,395
390,way,394
454,pass,375
204,visit,371
87,good,368
505,waiting,364
67,year,356
203,family,355
448,old,352
25,first,351
309,hotel,347
914,lines,343
796,4,336
691,going,330
1125,1,327
384,also,323
179,days,318
402,better,317
424,5,315
232,years,310
1,attractions,305
44,characters,304
383,service,300
417,take,297
323,make,294
57,expensive,283
672,10,271
153,said,269
658,well,267
229,trip,265
48,every,260
389,small,260
477,say,258
519,want,256
376,magic,253
191,rude,252
674,another,250
12,ticket,248
522,world,246
134,disappointed,242
489,nothing,241
414,florida,240
487,cannot,238
289,bad,237
116,in,237
432,find,233
157,pay,233
71,last,231
360,think,231
201,great,227
177,left,226
14,visited,226
64,half,225
885,ever,224
182,know,222
24,little,222
626,walk,219
705,spent,215
781,need,214
171,made,214
228,whole,212
162,took,212
770,30,211
428,waste,206
88,thing,205
3,still,203
37,open,202
22,poor,201
101,let,200
68,come,200
259,lot,198
164,show,197
1158,mountain,196
510,everything,196
604,crowds,193
247,parade,190
1124,least,189
786,daughter,188
280,crowded,186
462,front,186
4,paid,185
114,big,184
467,next,184
312,passes,179
0,main,177
107,no,177
426,enough,176
581,minute,175
463,wanted,174
205,due,174
234,spend,173
65,worth,172
113,theme,171
185,asked,171
49,20,169
58,price,167
530,6,166
415,california,165
719,worst,164
110,three,162
5,full,162
127,things,161
631,found,161
418,fun,161
271,save,161
321,use,160
4065,french,160
2152,anything,160
466,waited,159
724,restaurants,157
307,far,157
726,restaurant,156
121,something,155
652,45,153
605,however,153
773,getting,153
947,cost,151
136,train,150
172,feel,150
501,child,149
580,less,149
50,mins,148
298,customer,148
586,new,148
470,end,147
416,thought,146
145,buy,145
508,away,145
183,saw,144
146,mickey,144
73,prices,144
791,eat,143
7482,euros,143
6,entrance,142
197,give,140
339,best,139
613,actually,139
1675,space,137
141,decided,137
811,return,137
401,on,137
99,overpriced,137
640,cast,136
385,queuing,136
1473,everywhere,134
676,came,134
379,walking,134
320,able,133
350,40,131
1199,room,131
1267,arrived,130
602,try,130
105,attraction,130
2972,broken,129
1736,part,129
552,since,129
366,adults,129
813,walt,129
8,without,129
192,tried,129
1537,8,128
1598,guests,128
278,magical,128
712,huge,128
357,expect,127
1666,terrible,127
1742,per,127
906,young,126
1051,son,126
196,everyone,125
235,holiday,124
2765,7,123
877,shops,121
1395,trying,121
200,stand,121
1162,security,120
2049,though,120
10,either,120
378,instead,119
382,recommend,119
250,meet,119
