,Terms,% Freq in Thesis
46335,in line,0.22164175104442332
20231,could not,0.20575616479209263
25760,disneyland paris,0.1974351434218242
46512,in park,0.19365286098079307
33986,fast pass,0.17322853579922506
109276,year old,0.13389279841250146
108806,would not,0.12481532055402679
55818,many people,0.12405886406582056
39513,go on,0.11119910376631477
65306,on rides,0.1021216259078401
62426,not even,0.10060871293142765
38601,get on,0.09531351751398409
26275,do not,0.0922876915611592
39336,go back,0.08926186560833431
105694,we went,0.08472312667909697
62507,not get,0.07942793126165341
81282,rides closed,0.07867147477344719
94239,theme park,0.07867147477344719
38543,get in,0.07867147477344719
63107,not worth,0.07791501828524096
43448,hong kong,0.07715856179703474
46511,in paris,0.07564564882062229
72042,people in,0.07110690989138496
94441,there no,0.07110690989138496
21472,customer service,0.0695939969149725
64941,on earth,0.0695939969149725
46166,in front,0.0695939969149725
62512,not go,0.06883754042676629
69872,park in,0.06808108393856006
67936,over hour,0.06732462745035384
33988,fast passes,0.06732462745035384
89082,space mountain,0.06656817096214762
104297,walt disney,0.0658117144739414
81973,rip off,0.06505525798573517
104759,waste money,0.06429880149752895
65305,on ride,0.06429880149752895
25439,disney world,0.06354234500932272
15471,cast members,0.06278588852111651
61714,no one,0.06278588852111651
70004,park not,0.06127297554470406
83384,save money,0.06051651905649783
103644,wait in,0.06051651905649783
73337,place on,0.05976006256829161
106379,went on,0.05976006256829161
13326,broke down,0.05673423661546672
104769,waste time,0.05673423661546672
103918,waiting in,0.0559777801272605
25172,disney park,0.05522132363905428
24841,disney characters,0.05522132363905428
81524,rides not,0.05522132363905428
