,Terms,% Freq in Thesis
42552,fast pass,0.20245764597123814
31951,disneyland paris,0.20131703951506214
58092,in line,0.19675461369035818
58284,in park,0.18648915558477427
25299,could not,0.16652854260169447
136265,would not,0.13402125860067876
136795,year old,0.12888852954788682
111534,space mountain,0.11177943270524697
31542,disney world,0.10550609719627903
132373,we went,0.10265458105583905
49633,go on,0.10151397459966306
81839,on rides,0.09238912295025514
48498,get in,0.09181881972216716
101455,rides closed,0.09067821326599117
48577,get on,0.08896730358172718
49435,go back,0.0861157874412872
78205,not even,0.08440487775702323
79073,not worth,0.08383457452893522
16573,broke down,0.07927214870423127
19260,cast members,0.0764206325637913
120251,thunder mountain,0.07585032933570329
70052,many people,0.0752800261076153
78322,not go,0.0752800261076153
117987,theme park,0.0747097228795273
57883,in florida,0.07242850996717533
133366,went on,0.07185820673908734
59088,indiana jones,0.07128790351099934
70071,many rides,0.07071760028291135
101767,rides not,0.06843638737055936
82266,one day,0.06786608414247138
42554,fast passes,0.06729578091438337
87795,park not,0.06615517445820739
58283,in paris,0.0655848712301194
78314,not get,0.0655848712301194
136875,years ago,0.0655848712301194
132176,we not,0.0650145680020314
57736,in disney,0.06444426477394341
32604,do not,0.06330365831776741
87644,park in,0.06273335508967942
54552,hong kong,0.06102244540541544
81378,on earth,0.059881838949239444
129896,wait in,0.05931153572115145
91811,place on,0.05931153572115145
60356,it not,0.058741232493063456
57906,in front,0.058741232493063456
66812,long lines,0.05703032280879947
31841,disneyland in,0.05646001958071148
31259,disney park,0.05646001958071148
17925,california adventure,0.05646001958071148
52650,happiest place,0.05531941312453549
