,Word,Count
23,park,6415
0,disney,5686
12,rides,4990
2,disneyland,4057
165,time,3527
150,day,3421
121,would,3055
189,get,3001
56,one,2882
159,go,2523
164,ride,2458
15,food,2161
24,good,2139
216,kids,1996
26,people,1985
143,like,1785
8,really,1756
51,much,1645
431,long,1605
161,us,1602
166,went,1581
316,many,1580
144,parks,1550
55,see,1474
112,staff,1460
725,could,1454
94,visit,1452
323,also,1438
16,even,1405
211,not,1405
116,2,1396
235,great,1390
81,closed,1375
176,place,1369
228,back,1346
36,around,1309
571,paris,1305
31,fast,1281
138,wait,1243
25,children,1218
226,line,1211
411,pass,1199
552,times,1187
231,experience,1176
177,first,1170
471,queues,1168
827,queue,1167
9,small,1143
300,3,1109
13,attractions,1094
634,characters,1058
1,world,1054
20,expensive,1054
254,still,1051
47,lines,1045
182,minutes,1024
115,got,1018
474,better,1017
331,mountain,1016
594,fun,1005
69,little,986
336,show,981
173,lot,979
21,well,975
39,parade,963
52,take,951
242,year,936
117,days,929
662,going,924
489,hours,921
264,two,901
11,way,900
349,hotel,872
163,hour,871
66,think,853
243,old,850
185,years,833
564,visited,831
68,magic,827
34,however,814
599,5,792
246,waiting,787
178,big,766
570,florida,766
326,need,740
430,quite,739
425,4,731
962,money,724
299,trip,718
73,1,718
465,family,717
222,make,712
215,nice,707
269,disappointed,705
127,worth,701
18,tickets,689
204,in,687
696,bit,670
154,want,661
252,fireworks,658
330,space,641
27,never,639
484,things,623
100,main,619
195,say,619
535,though,616
1100,everything,613
184,10,611
620,ticket,607
41,crowded,599
92,best,598
380,open,597
446,every,594
618,last,593
183,california,588
673,found,586
213,come,565
722,know,564
537,made,562
197,train,557
483,enough,556
110,service,552
723,find,544
472,enjoyed,540
432,took,534
1055,another,531
118,less,526
253,overall,520
223,sure,519
1479,early,517
585,thing,513
333,enjoy,511
145,theme,505
575,crowds,501
236,love,500
5,feel,498
119,price,498
136,30,495
470,busy,486
162,half,482
937,least,481
1013,whole,480
337,cannot,479
266,adults,478
142,said,473
6,hong,472
426,always,471
237,new,469
7,kong,466
387,told,460
903,magical,459
503,expect,459
902,bad,455
1420,cast,449
393,land,445
619,lots,443
1401,passes,440
858,night,439
674,felt,438
86,restaurants,437
1592,orlando,436
485,although,435
1137,use,428
748,especially,428
128,walk,423
130,due,422
129,castle,420
1318,end,418
190,getting,418
232,mickey,418
60,let,417
262,prices,417
1529,saw,414
617,since,414
297,young,413
404,daughter,403
568,nothing,401
57,shows,399
588,studios,399
761,expected,399
131,area,398
753,wanted,398
819,etc,397
581,something,395
139,recommend,393
289,different,390
794,seemed,387
1450,may,386
40,pretty,383
892,walking,382
681,members,380
181,20,380
417,disappointing,379
201,next,378
1039,loved,377
114,left,377
770,thought,377
1714,spent,376
149,done,376
188,able,375
49,shops,375
651,must,375
306,clean,372
155,eat,371
70,ones,370
436,ok,366
219,stay,365
257,buy,365
1001,thunder,364
1290,spend,362
676,friendly,362
1429,front,361
1007,meet,361
395,hot,360
7819,french,359
295,areas,358
2688,adventure,358
438,smaller,358
1966,smoking,357
339,6,357
1503,pirates,355
506,several,354
250,probably,353
1361,away,348
17,entrance,348
43,rude,348
442,maybe,347
296,definitely,346
62,far,345
303,high,343
379,places,340
636,full,339
203,compared,339
516,pay,336
327,hk,334
479,huge,334
476,without,333
123,everyone,332
1425,try,331
545,right,330
740,used,329
208,on,328
766,part,324
101,street,324
642,came,324
402,actually,323
1968,queuing,323
239,attraction,320
33,water,318
157,cost,318
845,three,314
663,looking,314
749,star,313
982,amazing,312
288,no,312
1005,parades,309
99,restaurant,309
120,visiting,308
347,stayed,308
887,couple,305
602,number,305
846,anything,303
89,week,303
498,waited,301
3175,euros,298
504,mins,298
71,almost,295
1147,character,295
2136,fastpass,294
420,child,292
2197,minute,292
500,8,291
950,give,291
124,look,290
1209,poor,290
2447,seems,287
1783,seem,286
4093,jones,285
1682,return,284
1019,weather,284
1415,everywhere,284
1017,happy,280
973,season,280
799,short,279
298,second,278
1674,lunch,277
957,outside,277
1024,inside,276
801,15,276
1362,walt,274
684,ever,273
1054,bring,273
4092,indiana,272
540,seen,272
175,average,271
423,available,271
757,7,264
1303,45,263
3776,broke,262
473,evening,262
87,close,261
935,quality,260
787,lack,260
668,help,259
1023,visitors,258
1238,special,258
686,holiday,258
301,ago,257
912,crowd,257
443,needs,256
745,christmas,253
713,check,250
156,point,250
293,work,250
1475,system,249
152,per,249
1364,side,248
344,meal,247
439,rather,247
778,overpriced,247
93,plan,246
1650,stand,245
1336,extra,245
448,hard,245
629,start,245
1870,morning,244
290,others,241
407,put,241
1864,princess,241
2020,later,240
777,drinks,240
305,coaster,239
939,course,239
415,either,237
705,real,236
685,decided,236
598,given,236
147,drink,235
313,cold,235
58,free,232
2102,paid,232
477,avoid,231
700,usa,231
194,easy,229
595,euro,229
739,already,229
1676,amount,229
2076,arrived,228
96,disappointment,227
234,book,226
2591,shut,225
2017,longer,224
3,anaheim,223
105,prepared,222
1266,plus,221
904,else,221
1741,standing,221
1777,disneyworld,219
1677,summer,219
1630,working,218
791,tired,218
1167,room,218
460,toilets,217
1093,past,217
1588,save,217
1546,leave,216
3116,parking,216
153,person,216
54,trying,215
521,taking,215
645,helpful,214
648,fact,214
678,guests,213
1245,keep,213
921,yes,212
1781,break,212
427,customer,211
782,photo,210
635,unfortunately,210
453,son,210
760,might,209
576,haunted,209
1177,understand,207
1840,buzz,207
64,managed,205
2175,adult,205
601,limited,204
666,instead,203
1390,tried,203
2316,caribbean,202
1232,extremely,201
2951,sit,201
720,asked,201
1038,booked,201
441,rest,201
3798,security,200
866,looked,200
399,light,199
207,run,199
1890,50,199
823,bought,199
993,allowed,198
1525,9,194
909,near,194
1102,packed,194
3106,40,193
466,member,193
1564,watch,192
1404,english,192
270,twice,191
267,roller,191
358,breakfast,190
2155,popular,190
536,fantastic,188
2141,value,188
1541,older,186
365,unless,185
544,station,185
611,weekend,184
42,problem,184
1485,late,184
1530,gone,181
463,plenty,181
1058,stop,181
241,four,180
356,dinner,180
1259,staying,180
894,making,180
874,queued,178
468,knew,178
2082,kid,178
1720,wrong,177
2656,broken,175
249,12,175
308,excellent,175
186,choice,175
667,excited,173
410,parents,173
1523,started,172
1646,ridiculous,171
381,maintenance,171
986,any,171
256,wonderful,171
1004,younger,171
1518,school,170
255,beautiful,169
656,except,169
981,car,168
2629,employees,168
587,universal,168
605,set,168
1072,families,168
1172,priced,168
1251,lovely,168
171,single,166
933,age,165
1031,offer,165
6707,wdw,165
251,major,164
616,opened,163
1626,review,162
661,atmosphere,162
758,nearly,162
861,rain,161
1895,glad,161
151,60,161
961,waste,160
392,story,160
214,idea,159
401,husband,159
1155,kept,159
870,large,158
1645,absolutely,158
1009,american,157
1036,hotels,157
1075,princesses,157
137,min,156
141,holidays,156
1101,certainly,155
515,reason,154
44,pushing,154
590,halloween,153
2291,finally,153
322,entry,153
1589,kind,152
1464,technical,152
793,whilst,152
1025,shop,152
280,taken,152
555,bus,151
1902,annual,151
923,remember,151
1299,ended,151
872,compare,150
984,miss,150
1341,guess,150
1505,cars,150
3110,france,150
1098,move,150
881,resort,150
654,expectations,149
582,along,149
1105,peter,149
2196,90,149
180,live,148
994,needed,147
896,expecting,147
179,fan,147
1841,lightyear,146
273,enjoyable,146
3009,smoke,146
710,lost,146
1515,app,145
951,order,145
920,earth,145
1643,seeing,144
2568,feeling,144
220,home,144
391,toy,144
1532,anyone,144
169,soon,144
852,refurbishment,144
1000,including,144
1843,despite,143
11897,dlp,143
1697,makes,142
193,super,142
538,afternoon,141
844,option,141
738,someone,141
4239,village,141
1241,wife,141
1879,mouse,140
1384,walked,140
315,options,140
2225,yet,139
1271,mansion,139
1616,mind,139
1926,difficult,139
1441,view,138
1469,enter,138
1103,la,138
1509,stuff,138
1480,opening,138
493,liked,137
1788,care,137
1614,behind,137
212,please,137
2504,original,137
1151,anywhere,136
2278,access,136
1090,perhaps,136
1651,entire,136
726,believe,136
1586,coffee,135
2007,missed,135
1169,possible,135
3357,problems,135
906,coming,135
63,worst,135
350,u,135
680,group,135
1481,hand,134
1106,pan,134
624,gate,134
1524,11,133
577,house,133
1845,often,133
1829,simply,133
1355,spot,133
1526,we,133
1041,gave,132
265,top,132
1139,photos,132
217,thrill,131
522,picture,130
968,changed,129
210,slow,128
488,peak,128
2328,tours,128
1762,fine,128
623,cheaper,128
1584,issues,127
1344,dont,127
1084,wish,127
2605,experienced,127
919,happiest,126
103,cafe,126
4,tokyo,126
1035,birthday,126
364,cheap,126
2719,splash,126
30,mostly,126
1332,missing,125
505,running,125
750,wars,125
1040,25,125
335,king,125
715,paying,124
1138,generally,124
1594,surprised,124
1858,throughout,124
126,deal,124
148,easily,124
1254,studio,123
664,head,123
279,pictures,123
1585,looks,123
2154,cool,122
1367,similar,122
716,merchandise,122
146,general,122
2383,party,121
3230,oh,121
563,tour,121
260,chinese,121
665,ocean,120
3387,00,119
547,change,119
1537,dirty,119
291,shame,118
240,ages,118
98,decent,117
655,meant,117
1228,hardly,117
643,across,117
259,standard,117
1124,friends,116
735,saying,116
1096,otherwise,116
1423,tell,115
334,lion,115
1081,ice,115
198,takes,115
754,chance,115
467,round,114
741,anyway,114
615,sad,114
125,online,114
170,track,114
1255,suggest,114
1774,hope,114
2782,bag,114
1549,heat,113
863,obviously,113
997,fair,113
428,exciting,112
318,non,112
1288,city,112
931,ask,112
2349,display,112
764,sorry,112
702,comparison,112
1408,using,111
429,bigger,111
638,worse,111
1136,kingdom,110
1548,version,110
579,manor,110
2718,100,110
4111,strollers,109
1340,within,109
2654,returned,109
2043,waits,109
1463,closing,109
227,life,109
543,mtr,109
1427,quick,108
397,sun,108
1339,usual,108
551,certain,108
95,biggest,107
1260,travel,107
553,leaving,107
355,buffet,107
1366,admission,107
2165,snacks,107
1158,supposed,106
78,disneys,106
1208,site,106
855,size,106
795,considering,106
2004,noticed,105
3979,frustrating,105
422,amusement,105
202,okay,105
871,ate,105
1231,ahead,105
1256,advance,104
2579,face,104
689,themed,104
2426,tower,103
627,smile,103
2366,shopping,103
11750,ratatouille,103
857,sadly,103
1385,straight,102
3243,turn,102
371,crazy,102
22,basically,102
2180,snow,102
286,apart,102
230,man,102
5874,matterhorn,102
14,souvenirs,102
1026,control,102
294,eating,102
1202,issue,101
3699,table,101
1956,massive,100
1115,meals,100
675,particularly,100
1849,public,100
447,signs,100
4087,awful,100
1428,cut,100
910,pleasant,100
221,tip,100
1545,difference,99
1160,management,99
2552,guest,99
3616,stood,99
908,favorite,99
2592,completely,99
2080,quickly,99
561,gets,99
1642,forward,99
562,bother,99
1396,10am,98
1560,standards,98
1470,included,98
1369,five,98
2006,it,98
196,impressed,98
683,favourite,98
3754,opinion,98
1567,facilities,97
1120,minnie,97
1135,spending,97
77,example,97
342,burger,97
1296,awesome,97
3987,case,97
2355,usually,96
4276,happened,96
224,read,96
724,none,96
88,mid,96
1056,music,96
6741,hopper,96
3814,terrible,95
1520,shuttle,95
2048,girls,95
833,boring,95
1246,again,94
1679,fantasyland,94
348,hollywood,94
1095,add,94
3968,anniversary,94
2016,heard,94
1204,tourists,93
829,name,93
765,interesting,93
2842,sometimes,93
1317,attention,93
1150,information,92
421,note,92
2283,tea,92
1466,annoying,92
1794,mean,92
1488,lucky,92
2297,total,92
187,vacation,92
1490,totally,91
1430,august,91
1368,monday,91
1030,teenagers,91
2090,complete,90
1439,e,90
974,job,90
113,brought,90
19,slightly,90
2207,booking,90
3434,chips,90
1476,goes,90
1857,low,89
3879,stroller,89
1905,fans,89
4195,frozen,89
1696,means,89
1305,sort,89
546,gates,89
341,bottle,89
3266,firework,89
1020,planning,88
2516,attitude,88
167,construction,88
1448,parts,88
2356,turned,88
2405,quiet,88
512,bags,87
925,normal,87
3210,allow,87
1544,push,87
1198,dark,87
815,jungle,86
926,fee,86
1571,aware,86
1839,aged,86
1798,ready,86
1377,sign,85
499,till,85
2167,impossible,85
606,true,85
2642,terror,85
1277,eurodisney,85
1088,pushed,85
2034,previous,85
3168,dreams,85
1456,imagine,85
1383,watching,85
1033,honest,84
1011,over,84
456,que,84
569,spectacular,84
2644,n,84
6829,disabled,84
901,entertainment,84
10,called,84
592,nights,84
3371,become,84
1082,cream,84
621,arrive,84
1230,advice,84
1128,bored,83
1478,stuck,83
1855,stopped,83
2309,designated,82
1220,earlier,82
2077,thinking,82
2527,notice,82
2035,visits,82
3382,costs,82
1534,highly,82
2511,lacking,81
1219,months,81
1533,third,81
1003,towards,81
751,grizzly,81
614,works,81
2264,future,81
792,choose,81
2319,onto,81
3094,clearly,81
61,happen,80
1123,lights,80
718,lady,80
913,horrible,80
3070,queueing,80
1863,girl,80
261,reasonable,80
1285,worked,80
1297,seriously,80
352,charge,80
880,paint,80
1745,board,80
929,purchase,80
818,dumbo,79
1330,truly,79
1974,website,79
1363,ca,79
1477,regular,79
817,cruise,79
7178,wheelchair,79
312,warm,79
1609,skip,79
1032,maintained,79
1597,mainly,79
2867,moving,79
1853,saturday,79
1985,customers,78
1706,effort,78
518,sell,78
3105,reviews,78
2785,after,78
2742,friday,77
520,buying,77
3317,pizza,77
709,purchased,77
1342,wow,77
464,local,77
1540,rush,77
641,offered,77
1785,speak,77
1580,off,77
1729,boat,77
2206,dl,77
2708,daughters,76
1852,europe,76
917,level,76
367,travelling,76
2397,advantage,76
1854,sunday,76
3125,14,76
2217,points,75
5273,brilliant,75
2290,outlets,75
1467,pick,75
717,store,75
1436,phone,75
1601,items,75
1539,boys,74
639,hit,74
2704,july,74
59,seats,74
3057,together,74
708,pre,74
1590,america,74
4499,chicken,74
1946,planned,74
781,highlight,74
2759,exactly,74
2626,shorter,73
1180,didnt,73
802,80,73
1736,pooh,73
560,card,73
274,disneylands,73
3059,positive,73
867,miserable,72
1619,seating,72
2398,saved,72
1604,experiences,72
2725,fairly,72
1159,comes,72
1043,dining,72
3878,met,72
1780,spring,71
382,vouchers,71
3202,white,71
2266,added,71
2224,empty,71
1173,nightmare,71
192,downtown,71
1376,grand,71
1963,type,70
2736,barely,70
3004,literally,70
3047,multiple,70
1743,various,70
1742,fantasy,70
1044,hall,69
396,shade,69
2382,mickeys,69
4291,uk,69
759,70,69
