,Terms,% Freq in Thesis
38920,big thunder mountain,0.14079308651791822
166080,in hong kong,0.13251114025215832
277432,place on earth,0.12526443726961842
154187,hong kong disneyland,0.1190529775702985
148971,happiest place on,0.11594724772063854
86442,disney world in,0.10352432832199869
392723,we went on,0.09317189548979882
176360,it small world,0.09317189548979882
386339,walt disney world,0.08281946265759896
135547,get on rides,0.07971373280793899
384836,waiting in line,0.07764324624149901
117975,fast pass system,0.0714317865421791
167908,in one day,0.06625557012607916
404445,would not go,0.06625557012607916
193014,lion king show,0.06625557012607916
386335,walt disney studios,0.06522032684285918
383770,wait in line,0.06418508355963919
139537,go on rides,0.0631498402764192
172392,indiana jones ride,0.06211459699319922
244305,on main street,0.05797362386031927
66872,could not get,0.05797362386031927
53983,characters walking around,0.05693838057709928
206531,many rides closed,0.05383265072743932
336216,standing in line,0.05383265072743932
134815,get fast pass,0.05279740744421933
87788,disneyland in california,0.051762164160999345
87659,disneyland hong kong,0.051762164160999345
401598,world in florida,0.051762164160999345
381014,visit disneyland paris,0.04969167759455937
85002,disney parks in,0.04969167759455937
231823,not get wrong,0.04969167759455937
366393,toy story land,0.04969167759455937
231884,not go back,0.04865643431133938
233462,not many rides,0.047621191028119396
392468,we visited disneyland,0.047621191028119396
164213,in disney hotel,0.04555070446167943
50904,cast members not,0.04451546117845944
47486,california adventure park,0.04451546117845944
303459,rides broke down,0.04451546117845944
90881,do not get,0.043480217895239454
404508,would not recommend,0.043480217895239454
382119,visited disneyland paris,0.042444974612019466
301010,ride broke down,0.042444974612019466
406223,year old daughter,0.042444974612019466
377868,use fast pass,0.04140973132879948
164361,in disneyland paris,0.04140973132879948
154186,hong kong disney,0.04037448804557949
134816,get fast passes,0.03830400147913952
74162,day park hopper,0.03726875819591953
335845,stand in line,0.03623351491269954
