,Word,Count
90,park,12457
14,rides,10089
85,disney,9702
1,disneyland,8417
20,day,8164
32,time,8002
273,get,6372
13,one,5400
181,go,5008
355,ride,5002
123,would,4936
50,great,4731
162,food,4509
113,good,4419
202,kids,4225
106,really,3558
69,like,3213
33,visit,3196
216,went,3172
115,also,3134
397,see,3110
139,much,3045
580,long,3044
104,place,2978
291,people,2938
593,parks,2896
326,fast,2887
362,fun,2765
235,2,2694
236,pass,2644
262,still,2640
293,us,2599
129,around,2532
460,wait,2506
242,show,2500
135,parade,2460
738,first,2417
28,well,2416
222,many,2398
219,back,2392
151,not,2383
279,times,2339
91,even,2312
43,experience,2259
214,days,2252
228,could,2250
505,take,2226
310,characters,2207
71,mountain,2200
221,children,2183
126,lot,2111
16,world,2105
148,attractions,2063
15,small,2056
26,queues,2041
385,line,2024
777,year,2009
93,got,1976
686,lines,1966
564,expensive,1964
265,little,1953
800,paris,1944
19,worth,1943
231,fireworks,1938
431,hotel,1912
1181,3,1906
176,going,1825
146,queue,1812
324,old,1811
622,staff,1796
213,two,1745
403,family,1711
217,early,1708
137,5,1682
710,make,1656
172,enjoyed,1637
124,big,1637
150,minutes,1635
286,loved,1627
587,better,1613
717,trip,1571
435,best,1568
161,way,1466
665,nice,1457
21,visited,1454
70,space,1444
160,closed,1442
487,4,1434
67,however,1425
1067,magic,1424
796,night,1385
244,need,1385
80,bit,1369
138,hours,1348
157,quite,1348
427,want,1347
25,busy,1344
540,though,1339
209,everything,1335
9,main,1324
393,waiting,1316
207,hour,1308
904,california,1298
298,tickets,1297
408,10,1281
75,1,1269
588,sure,1268
203,love,1265
754,every,1264
211,in,1260
554,always,1250
553,think,1250
871,years,1244
434,train,1244
361,shows,1242
143,enjoy,1238
183,crowded,1230
240,lots,1222
243,must,1196
154,amazing,1184
541,crowds,1160
206,took,1155
417,use,1154
438,mickey,1152
289,things,1137
497,recommend,1126
234,enough,1102
329,ticket,1102
1161,magical,1073
31,last,1069
159,castle,1064
804,florida,1061
494,found,1059
802,new,1049
4,hong,1047
335,passes,1042
1054,thing,1034
589,overall,1028
5,kong,1028
3,find,1027
40,land,1023
560,water,1018
391,say,1012
450,definitely,1009
53,especially,1001
46,open,994
111,theme,992
153,although,982
36,stay,981
830,made,974
1667,adventure,959
250,able,958
247,smaller,957
255,different,955
249,adults,954
64,less,951
1053,come,950
621,clean,941
1075,never,937
8,walk,933
782,end,927
54,whole,919
1091,know,897
850,getting,886
795,parades,876
1143,plan,871
253,restaurants,861
226,young,856
191,etc,849
257,try,839
30,since,837
10,street,832
654,30,824
1428,cannot,822
276,bring,821
954,another,816
152,bad,811
57,area,807
731,least,804
787,spent,800
484,next,800
1009,daughter,800
