,Word,Count
296,park,20969
17,disneyland,17677
104,disney,16325
107,rides,15885
42,time,15601
2,day,14450
178,get,10914
3,go,10364
0,great,9862
37,one,8695
236,ride,8244
1,place,7838
311,would,7010
100,kids,6823
146,food,6283
229,visit,6259
400,see,6064
130,really,5914
92,fun,5885
177,good,5677
91,much,5567
298,like,5476
7,went,5316
185,also,5155
182,back,5075
727,pass,5062
840,days,4984
293,fast,4878
244,first,4769
167,wait,4700
109,parks,4643
65,show,4605
12,parade,4604
41,well,4491
239,times,4455
189,amazing,4452
118,experience,4421
401,long,4407
95,2,4399
10,loved,4323
266,world,4305
672,us,4296
4,even,4240
272,year,4230
468,best,4061
262,fireworks,4035
50,around,4033
226,take,4029
336,every,3998
125,love,3964
316,people,3894
170,worth,3891
115,mountain,3818
453,characters,3800
105,not,3781
90,still,3763
129,family,3760
106,many,3720
529,always,3572
273,old,3554
30,everything,3509
371,trip,3492
209,could,3457
138,3,3435
370,make,3424
201,magical,3401
13,got,3373
337,lines,3363
284,little,3355
139,children,3324
313,going,3303
152,staff,3149
469,hotel,3098
202,early,3014
38,two,2920
326,lot,2904
338,small,2899
286,california,2894
44,attractions,2886
590,enjoy,2853
55,must,2791
63,magic,2782
211,line,2778
457,night,2745
342,expensive,2737
250,big,2733
307,5,2709
431,sure,2647
595,enjoyed,2603
322,recommend,2598
29,shows,2581
82,never,2559
438,paris,2558
703,years,2541
1021,way,2494
203,want,2472
69,better,2461
429,queues,2437
252,visited,2420
334,cannot,2315
406,4,2308
308,minutes,2303
114,space,2285
351,new,2283
120,lots,2268
223,adventure,2254
341,everyone,2249
939,main,2239
418,busy,2208
19,say,2182
23,come,2162
517,use,2105
137,need,2078
148,fantastic,2071
378,clean,2069
257,queue,2053
169,definitely,2052
218,land,2051
604,wonderful,2043
389,tickets,2024
15,though,1984
382,passes,1965
131,made,1963
270,took,1956
441,hours,1956
192,mickey,1950
570,enough,1943
1139,bit,1935
489,things,1930
410,10,1919
1145,think,1915
268,stay,1904
188,parades,1895
467,in,1894
312,able,1882
224,nice,1878
508,1,1865
592,friendly,1854
2084,plan,1848
197,castle,1846
1365,crowds,1805
98,spent,1747
