,Terms,% Freq in Thesis
807202,place on earth,0.358156939268942
452868,happiest place on,0.3183617237946151
470799,hong kong disneyland,0.1438523344553446
118789,big thunder mountain,0.14119932009038946
505582,in one day,0.14119932009038946
527191,it small world,0.1326507182477563
501151,in hong kong,0.11732219080579334
150135,cannot wait go,0.1129005001975348
271347,do not miss,0.11083704458034747
1105880,wait go back,0.10729969209374064
1132856,we went on,0.1034675602332499
716081,on main street,0.10081454586829479
408458,get fast pass,0.09521373776450062
1088046,use fast pass,0.09462417901673283
356416,fast pass system,0.09373984089508111
145494,california adventure park,0.09108682653012598
258552,disneyland california adventure,0.08902337091293867
221904,day park hopper,0.08578079780021573
422456,go on rides,0.07723219595758256
1174505,year old daughter,0.07281050534932401
1127680,we great time,0.0722209466015562
256578,disney world in,0.06632535912387814
1113054,walt disney world,0.06603057974999424
574480,lion king show,0.06544102100222644
595492,loved every minute,0.061903668515619605
408459,get fast passes,0.061314109767851795
1057160,toy story land,0.06042977164620009
516493,indiana jones ride,0.05718719853347716
410446,get on rides,0.05718719853347716
1164723,worth every penny,0.05423940479463813
612004,make sure get,0.05335506667298642
1108717,waiting in line,0.05306028729910252
1113023,walt disney studios,0.05276550792521861
494495,in california adventure,0.051586390429683
1168917,would highly recommend,0.05011249356026349
418960,go back again,0.04952293481249568
1174754,year old son,0.04716469982142446
1088047,use fast passes,0.04657514107365665
496699,in disney hotel,0.045396023578121045
766975,park hopper pass,0.04510124420423714
751447,paint night parade,0.04451168545646934
1106056,wait in line,0.04421690608258543
1132317,we visited disneyland,0.04392212670870153
261247,disneyland hong kong,0.042743009213165914
277535,dream come true,0.042448229839282016
529007,its small world,0.041858671091514206
1067540,truly happiest place,0.041858671091514206
671916,new orleans square,0.04156389171763031
1018128,this first time,0.0409743329698625
650124,mountain indiana jones,0.04067955359597859
