,Word,Count
23,park,1611
0,disney,1495
12,rides,1346
2,disneyland,1230
148,day,906
163,time,846
156,go,836
69,get,779
15,food,778
97,would,749
56,one,736
26,people,661
20,expensive,617
162,ride,586
81,place,522
141,like,502
164,went,486
392,kids,486
74,staff,486
127,closed,483
325,long,481
85,2,480
528,disappointed,464
305,not,457
16,even,457
159,us,445
309,visit,423
136,wait,411
78,could,404
514,paris,395
95,money,391
332,line,382
55,see,381
36,around,377
400,queues,368
278,experience,367
320,bad,358
9,small,357
284,back,356
8,really,344
223,3,340
27,never,338
47,lines,333
359,queue,329
25,children,319
294,minutes,313
297,times,309
330,hours,309
142,parks,305
51,much,303
442,year,301
198,also,301
84,characters,293
161,hour,292
39,parade,291
13,attractions,290
323,going,278
992,two,270
383,little,269
113,got,267
261,waiting,264
41,crowded,264
114,days,258
11,way,257
18,tickets,252
575,family,249
494,5,247
377,visited,246
1192,4,245
52,take,244
792,many,241
171,lot,240
290,trip,232
920,old,227
351,years,227
1,world,226
630,still,222
43,rude,219
31,fast,209
21,well,207
175,say,207
271,pass,206
398,every,206
607,florida,205
117,1,201
160,half,201
335,everything,200
384,first,198
382,poor,197
277,disappointing,196
314,least,195
1161,think,193
182,mountain,191
201,hotel,190
242,told,190
681,crowds,184
24,good,184
91,in,181
916,service,175
63,worst,173
334,big,172
444,last,171
365,ticket,169
83,fun,167
636,make,164
425,know,164
73,terrible,161
174,need,161
124,worth,157
128,due,156
79,find,155
348,another,154
115,less,150
647,cold,150
1050,spent,149
187,show,149
553,made,149
345,better,148
75,want,148
854,nothing,148
545,took,147
188,cannot,147
860,found,142
239,10,142
125,walk,141
112,left,140
417,things,140
424,awful,139
140,said,138
94,waste,138
502,ever,138
651,fireworks,137
606,california,137
302,disappointment,136
206,prices,134
143,theme,134
99,enough,134
587,quite,134
134,30,133
264,come,132
1220,always,131
34,however,128
705,whole,128
181,space,128
455,thing,127
152,eat,126
659,felt,125
317,restaurants,124
311,must,122
237,main,121
680,wanted,119
318,though,119
559,saw,118
262,daughter,118
781,bit,117
629,several,117
389,lots,117
116,price,116
678,earth,115
249,land,115
361,mins,115
521,next,114
797,since,113
60,let,113
252,no,112
137,recommend,112
282,child,112
533,mickey,111
190,6,111
1263,expected,111
120,everyone,111
422,pay,110
803,expect,110
1176,away,109
509,save,109
421,waited,109
573,great,109
5,feel,108
504,buy,108
616,spend,107
233,open,106
399,20,106
677,happiest,105
356,busy,105
582,night,105
7,kong,105
683,cast,105
3164,broken,105
913,walking,104
6,hong,104
90,queuing,104
1256,smoking,103
824,dirty,103
894,orlando,102
337,ridiculous,102
2131,broke,102
33,water,102
281,adults,100
469,overpriced,100
288,paid,100
770,thought,100
2980,french,99
1082,magic,99
929,try,98
670,on,97
2380,three,97
313,love,96
756,avoid,96
487,almost,96
845,getting,96
861,everywhere,96
350,came,95
1614,front,95
853,young,95
154,cost,94
49,shops,94
646,weather,94
321,part,93
1511,anything,93
440,attraction,93
129,area,92
1571,holiday,92
333,without,92
225,crazy,92
522,tired,92
67,train,91
360,45,91
2491,passes,91
631,new,91
2443,use,90
922,hard,89
740,extremely,89
688,meet,88
739,magical,87
344,quality,87
6598,euros,87
724,stay,86
107,something,85
794,compared,85
57,shows,84
457,adventure,84
298,unfortunately,84
1272,number,84
1524,season,84
1403,members,83
1158,christmas,83
118,visiting,83
1626,minute,83
755,wrong,83
259,actually,82
569,give,82
907,pirates,81
275,either,81
615,etc,81
77,working,80
357,especially,80
642,crowd,80
411,early,80
467,drinks,80
452,horrible,80
157,week,80
101,places,80
560,asked,79
1052,end,79
492,40,79
307,restaurant,78
96,walt,78
826,areas,78
626,leave,78
70,past,77
1021,8,77
583,looking,77
295,sure,76
150,per,76
126,castle,76
54,trying,76
173,average,75
775,customer,75
749,seemed,75
177,hk,75
880,definitely,75
859,toilets,74
696,son,74
747,shut,74
358,lunch,73
62,far,73
184,enjoy,73
565,tried,73
121,look,73
289,return,73
102,amount,73
572,stand,73
251,hot,73
795,ones,73
603,overall,73
147,done,72
17,entrance,72
1152,inside,72
2410,four,72
406,although,71
343,high,71
787,smaller,71
352,ago,71
1160,huge,71
