,Terms,% Freq in Thesis
33973,in line,0.18845291921971105
34095,in park,0.16829752678979543
18911,disneyland paris,0.15721206095334184
14457,could not,0.1481421343598798
58926,rides closed,0.1169012760935106
76569,we went,0.11589350647201481
78980,would not,0.11488573685051903
79355,year old,0.11488573685051903
47432,on earth,0.11387796722902326
47728,on rides,0.10380027101406544
31921,hong kong,0.10380027101406544
29177,go on,0.10279250139256967
53599,place on,0.10178473177107387
30777,happiest place,0.10178473177107387
45629,not even,0.1007769621495781
25132,fast pass,0.09876142290658653
29016,go back,0.09674588366359498
19314,do not,0.0957381140420992
64754,space mountain,0.09069926593462029
46205,not worth,0.08566041782714139
9436,broke down,0.08465264820564561
47984,one day,0.08364487858414982
77219,went on,0.08263710896265404
45699,not go,0.08162933934115826
68223,theme park,0.0796138000981667
34094,in paris,0.07759826085517514
63811,small world,0.07558272161218357
18601,disney world,0.073567182369192
28480,get on,0.07155164312620045
51249,park not,0.07054387350470467
33834,in florida,0.07054387350470467
59146,rides not,0.06953610388320888
10987,cast members,0.06651279501872155
5413,around park,0.06550502539722576
75275,waiting in,0.06550502539722576
33750,in disneyland,0.06550502539722576
28436,get in,0.06449725577572998
39184,long lines,0.0634894861542342
18825,disneyland in,0.06248171653273842
18178,disney characters,0.06248171653273842
39220,long queues,0.06248171653273842
45694,not get,0.06248171653273842
49660,over hour,0.06248171653273842
18429,disney park,0.06248171653273842
68365,there no,0.06147394691124264
6150,attractions closed,0.06046617728974686
69532,thunder mountain,0.05945840766825108
45476,not bad,0.0584506380467553
34613,indiana jones,0.0584506380467553
51149,park in,0.057442868425259516
