,Terms,% Freq in Thesis
64700,fast pass,0.1981451681612166
87756,in park,0.19742984264438912
87518,in line,0.1802620302405292
48693,disneyland paris,0.16416720611191052
38601,could not,0.16202122956142803
167457,space mountain,0.13054690682101816
205442,year old,0.1262549537200532
204590,would not,0.11802871027653697
75064,go on,0.10694116476571078
122950,on rides,0.10336453718157329
198577,we went,0.10264921166474579
48120,disney world,0.09871492132219456
82524,hong kong,0.09799959580536706
123526,one day,0.09585361925488457
74775,go back,0.09513829373805707
73472,get on,0.09478063097964333
152154,rides closed,0.0908463406370921
164934,small world,0.0887003640866096
180659,thunder mountain,0.08476607374405837
49671,do not,0.0797587951262659
64702,fast passes,0.07868580685102465
29403,cast members,0.07797048133419715
118094,not get,0.07761281857578341
200145,went on,0.07761281857578341
122317,on earth,0.07582450478371466
137293,place on,0.07403619099164592
177257,theme park,0.07367852823323218
73371,get in,0.07367852823323218
88890,indiana jones,0.07153255168274968
25353,broke down,0.07117488892433593
87084,in disney,0.07010190064909469
79414,happiest place,0.07010190064909469
27403,california adventure,0.0679559240986122
118102,not go,0.06759826134019845
131436,park not,0.0672405985817847
152585,rides not,0.06616761030654346
105603,many people,0.06473695927288846
198301,we not,0.06473695927288846
87085,in disneyland,0.06366397099764722
131237,park in,0.06330630823923347
117956,not even,0.06151799444716472
47738,disney parks,0.06116033168875098
35577,come back,0.06080266893033723
48531,disneyland in,0.06044500617192348
100805,long lines,0.06044500617192348
87286,in front,0.06044500617192348
119061,not worth,0.06008734341350973
104018,main street,0.059372017896682235
205592,years ago,0.059014355138268484
136833,pirates caribbean,0.05758370410461349
