,Terms,% Freq in Thesis
281852,fast pass,0.23398121891282142
382293,in park,0.18913155801335294
705784,space mountain,0.16257390712086506
863514,year old,0.1462382618205134
362325,hong kong,0.14193425946592972
528274,one day,0.12579425063624095
212774,disneyland paris,0.1253051594595837
210802,disney world,0.12222388504664312
836437,we went,0.12051206592834281
327523,go on,0.12021861122234846
281857,fast passes,0.10779569533525468
381669,in line,0.10671969474660876
338212,great time,0.10652405827594587
526527,on rides,0.10349169298067101
121864,california adventure,0.10329605651000812
452035,main street,0.10231787415669365
454151,make sure,0.0953727794481609
694765,small world,0.09483477915383795
326610,go back,0.0945413244478436
842899,went on,0.09092204974058006
294464,first time,0.08837877562196243
172864,could not,0.08563986503268192
386682,indiana jones,0.0853953194443533
751410,theme park,0.08094458973677246
212785,disneyland park,0.0789393159124778
764429,thunder mountain,0.07869477032414918
380529,in disneyland,0.078548042971152
524926,on earth,0.07840131561815483
217307,do not,0.07761876973550326
380525,in disney,0.07629822355852872
580881,place on,0.07546676855821143
130686,cast members,0.07277676708659662
860764,would not,0.07052694767397334
321056,get on,0.06910858326166737
382171,in one,0.06783694620235856
346962,happiest place,0.06778803708469283
579213,pirates caribbean,0.06387530767143494
556849,park in,0.06382639855376922
208279,disney characters,0.06250585237679468
212263,disneyland in,0.06172330649414311
209733,disney park,0.06142985178814877
510232,not get,0.06010930561117423
826697,walt disney,0.05996257825817706
380962,in florida,0.05908221414019404
380396,in day,0.058935486787196865
823354,wait times,0.05829966825754246
557371,park not,0.05717475855123082
643916,rides in,0.056049848844919176
842011,well worth,0.05546293943293049
818022,visit disneyland,0.055169484726936155
